Gertrud Luckner Stolperstein;http://lh5.ggpht.com/K3fkqkWQUfJbHrv9O1KKgFCAYKAVnFVI19M_Mdu-XfjCRxqJzOvOOdrF7_x-6K-Miei7m1vd1iB7rPVSpQvP;f305dae10ccf4c8fa9a177e8f5d73415.16;47.988965;7.846101
Goldener Anker;http://lh4.ggpht.com/tNXstoDYPDDpg3uiniJ2sz_PyYRlWvdCf__oPwuehGgfAmeptojl2EmI7TQ-rejmdTPjgY2ryT00zjdqjyHl;0cdc442320d14623ad47b0acaab6cf2f.16;47.988644;7.851441
Annaplatz Brunnen ;http://lh6.ggpht.com/wc-t161fYzazA8sKnatK88MIvksmmYiMeNFfuij472G54upV6egUd2X8Pyqp1sdAj9pzgV014ASGx3xoJEs;34ec88bc88d24d4bbcead86a93a4d99c.16;47.98539;7.846117
Schwarzwaldmädel;http://lh4.ggpht.com/F5CJkLubpTjWuAo1bBs0ufah1LsdpGW3OV1_3PsSfmH3FXGednIRbdTGlP3GnDW1rd6IhUUzPYxUaWO5NAMO;de01b5bef1a247c28f812f878b4ee2ce.16;47.989548;7.847529
Stolpersteine Johanna und René Weinheim;http://lh3.googleusercontent.com/WT8sFy4B9RyyicAs3yCiHJp5LZR-1JWs8G9y6Js9krYZjSlqn24m0yjlAM6BSwlUlWNtTfGnDq96aPNtZjJ9;3b5bbdb712804c1f9bc0af1a8b63b35e.16;47.988457;7.852419
Stolpersteine Familie Friedberg und Haas;http://lh3.googleusercontent.com/XMnv9YOBpbWi7t42B2BXuR-D-rKr2rkyWrWtImgczC__hkU-uu0wpWjdXGrL_44UpQGGnwgB_Sl3yPam4RvNVGHc3kCz;a13e746d22f143e590b83381aa66d236.16;47.989863;7.849672
Kronenpokal;http://lh3.ggpht.com/TbH51sUPUUeil3Ch3VQEYVITDoNwj1bDURWg_GbhouITAas98rUuMcUqK55VgmZS64b8dtgBHWeH8tESGJo;e70f09d62e5f48f2bfaa95fd8e715846.16;47.989293;7.843808
Christuskirche;http://lh3.ggpht.com/2BXH1FfA9Qsoej2Y-k_Uh5I6Q1ehNGgldIljBod4icYRHqjPdkdUJ0wmZudTpRQdv4Si8UtbpaZTmoNlAc5k7Q;6e2a37e5e8594fb1b47551ec979b07c3.16;47.987081;7.8494
Stolperstein Dr Hans Pollock;http://lh3.googleusercontent.com/T5scq-rpPedtVttJ6r4YyOAWNrSniEgHnP2i9PLIvfjXERCSnf9hIBFtSDoJ5hFWbaD39mEntM93nl6f-zAK;149e340ed16142378c5750ad678ede3d.16;47.986658;7.847167
Kopfloser Nick;http://lh5.ggpht.com/n0Db88oCLOtG_aBDYAzWytDyuaMYzaKrNd-tZGQCjDQXtvo13DxPrRqU1D0dQCLVEqeiQMr0UEDC6omDgkNc;6bd245e4c92b44b8a3a04f127211bd4b.16;47.987131;7.847922
Giraffen;http://lh3.ggpht.com/5E_dlVk6UUNl6L40aWWE5MUcbh3o2BnM_g41n9tXUIbWNvWYWXS0T91z1yGDbQFhOt6rOOBoevfohV-iryIq;ac6028e5adbd49d1808ea81550041a64.16;47.987432;7.844474
St. Anna ;http://lh5.ggpht.com/CLDMLNzWPJYrBUU2gyt-b517ziSzMvu525QTNqfhQ5xlRE65HcQ0a_oyw3HTP6Qd2Rrj091Vm8ZL8JgNjm5p_g;1f68f4b671e545729bf3faaee1bc6378.16;47.985158;7.845917
Johanneskirche;http://lh4.ggpht.com/s6c_jPcnphe9spgd6i-C-s7zxleMkBSiNvPALdmtmPvOJykSpAnjW3wtbQ8bK2FrGaW_iibPakmErlPkE1buAFM9-m-KciEHAeuwr6nxO9D0GwU;313f5b2ecd3d41998d986856a06decad.11;47.988868;7.847594
