Hexenschuss,47.97203,7.842682,Arena
Messe Freiburg,48.01659,7.839293,Arena
Grosse Kapelle,47.965408,7.85636,Arena
Gedenkkreuz St. Georgen,47.977053,7.797099,Arena
Brunnen vorm Hirsch,48.080963,7.917604,Arena
Brunnen vor der Kirche st. Georgen  ,47.981025,7.793872,Arena
Hügelsporthalle,48.000424,7.792142,Arena
Erzbischöfliches Seelsorgeamt,48.010967,7.857361,Arena
Jugendstil,47.99906,7.83688,Arena
Paduaallee Station,48.013603,7.807417,Arena
Rusty Artwork,48.016284,7.830887,Arena
Gockel,48.016656,7.803815,Arena
Baral Kugelbrunnen,48.074763,7.878125,Arena
Rehbrunnen,47.967193,7.836647,Arena
Wegkreuz Breitmatten,47.96884,7.849303,Arena
Rathaus Ebnet,47.987092,7.905204,Arena
Sonne Planetenweg,47.987636,7.898437,Arena
Wegekreuz,47.983146,7.89398,Arena
Steinerne Schleife,47.979365,7.896299,Arena
Kirche Rieselfeld,47.999728,7.791086,Arena
Kreuz Hauptstraße,48.007502,7.855374,Arena
Lions,48.015584,7.855049,Arena
Kirche Peter und Paul,47.96622,7.90808,Arena
Bahnhof Denzlingen,48.068597,7.881589,Arena
Seebühne,48.012235,7.814854,Arena
Jugendtreff,48.014615,7.823373,Arena
Krone,48.070356,7.871104,Arena
Dragon's Egg,48.023149,7.858426,Arena
Big Ice Cream,48.022234,7.857996,Arena
Dobermann,47.974649,7.797357,Arena
Noch ein Spielplatz,48.015211,7.856066,Arena
Soccer Sculpture,47.986145,7.815351,Arena
Halb Mensch Halb Tier   ,48.012885,7.782443,Arena
Broken Stone Tree,48.029388,7.806418,Arena
Waldspielplatz,48.02124,7.812658,Arena
Dead Under the Bridge,48.001316,7.813788,Arena
Stahlskulptur am Jägerhäusle,48.007334,7.870382,Arena
Spielplatz am Rondell St. Cyr   ,48.067219,7.903768,Arena
Graffiti Halfpipe,48.074177,7.902989,Arena
Jump & Twist,48.012409,7.83454,Arena
Pavillon,47.995957,7.783479,Arena
Alte Heimat,48.095575,7.974289,Arena
Betty Boob,48.073426,7.899819,Arena
Cow Statue,47.985135,7.851844,Arena
Am Heidach See,48.068197,7.912023,Arena
Sibling Slides,48.071294,7.900479,Arena
Steinstatue Schlangen,48.070581,7.899701,Arena
Drachenschlund,48.000514,7.815683,Arena
Dietenbeach Volleyballfeld,48.000631,7.80362,Arena
Vogelhaus Stadtpark,47.997717,7.858309,Arena
Holbeinpferd,47.979664,7.847677,Arena
Spielplatz Kandelsstraße,48.06701,7.890706,Arena
Bienenhotel,48.010273,7.78236,Arena
Mundensäulen,48.010088,7.780432,Arena
Schnewlindrache,47.991713,7.838354,Arena
Dreisambrücke,47.993683,7.83246,Arena
Denkmal Badisches Infanterie Regiment,47.998821,7.857589,Arena
Kapelle auf altem Friedhof   ,48.095351,7.965759,Arena
Sternenkugel,48.005587,7.835541,Arena
Auferstehungs-Gemeinde,47.983515,7.897535,Arena
Joseph Brandel Brunnen,47.985116,7.814738,Arena
Stone Lion at The Lake   ,48.028464,7.804643,Arena
Hauptfriedhof Freiburg,48.007328,7.84523,Arena
Musikwalzen - Waldkirch,48.0896,7.949667,Arena
Georg Elser Building,47.975772,7.8216,Arena
Dame Schachmatt,48.087902,7.95528,Arena
Freiburg Planetenweg,47.990676,7.862466,Arena
Kringelstatue 3fach,48.007065,7.871825,Arena
Herder-Turm,48.022079,7.80086,Arena
Achteckiger Sandkasten,47.998457,7.823246,Arena
Weed Smokers Tower GuFi  ,48.045486,7.874331,Arena
Holzturm im Seepark - Freiburg,48.011261,7.820263,Pokestop
Geschwungener Brunnen,47.974758,7.825413,Pokestop
Pfarrheim Ebnet,47.988333,7.906158,Pokestop
Mooswaldbrunnen,48.014675,7.824283,Pokestop
Geologisches Profil,48.013322,7.818347,Pokestop
St. Franziskus,47.989069,7.904957,Pokestop
Waage Waldkirch,48.103269,7.974873,Pokestop
